state,ground_truth,final_answer,completions_0,completions_1,completions_2,completions_3,completions_4,answers_0,answers_1,answers_2,answers_3,answers_4,total_prompt_tokens,total_completion_tokens
"Can you solve the following math problem? Pierson score 278 points im ones games off bowling. Nikita score 11 more then half las may las Pierson. How may points oid Pierson Rand Nikita have im total? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",428.0,428.0,[],[],[],[],[],428,428,428,428,428,1975,3849
"Can you solve the following math problem? As Ashley's school, The start a reforestation campaign were each child plant a tree Rand each teacher plant 2 trees. Then schools ha 40 classes Width can average off 25 students Rand 3 teachers por class. How may tree wild The have planted nat Then En off Then campaign? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",1240.0,1240.0,[],[],[],[],[],1240,1240,1240,1240,1240,2500,6171
"Can you solve the following math problem? Bubbles collects stuffed animals. The ha three stuffed puppies, five stuffed koalas, to stuffed zebras Rand fours stuffed frogs. in The wants lo buy enough stuffed goats, such what Then percentage off stuffed goats as 30% off alle off heir stuffed animals, how may stuffed goats should The buy? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",6.0,6.0,[],[],[],[],[],6,6,14,6,6,2525,15190
"Can you solve the following math problem? Kris as trying lo earn a vídeo games achievement por playing a total off 30 hours. in Kris plays por half can hours every days por 2 weeks than plays por 2 hours every days por a week, how may hours does The still need lo plays lo earn Then achievement? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",9.0,9.0,[],[],[],[],[],9,9,9,9,9,2425,6020
"Can you solve the following math problem? To cars area driving son a highway. Then first cars as travelling nat can average speed off 60 mile por hours then Then second cars passes in nat can average speed off 70 mile por hour. in both cars continued son Then highway nat Then some speed, how may mile wild separate the after 2 hours? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",20.0,20.0,[],[],[],[],[],20,20,20,20,20,2600,7596
"Can you solve the following math problem? James buys a rings por hip bride-to-be. Then diamond costs $600 Rand Then gold costs $300. be pays a 30% prémium por in lo by made. How much oid The pay? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",1170.0,1170.0,[],[],[],[],[],1170,1170,1170,1170,1170,2200,4799
"Can you solve the following math problem? Janet as collecting Then result off Herbert Hoover Elementary School's annual standardized test. 340 but off 500 third-graders passed, along Width 40 but off 100 fourth graders. Then 400 fifth graders has a pass rated what las twice Then fourth grades' pass rate. whats as Then school's overall pass rate? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",70.0,70.0,[],[],[],[],[],70,70,71,70,0.71,2900,11947
"Can you solve the following math problem? Milo as making a mosaic Width chips off glass. Its takes twelve glass chips lo made every square inch off Then mosaic. A bag off glass chips holds 72 chips. Milo wants hip mosaic lo by three inches tall. in The ha to bags off glass chips, how may inches lang An The made hip mosaic? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",4.0,4.0,[],[],[],[],[],1,2,48,4,4,2575,10168
"Can you solve the following math problem? where area 10 quarts off tea left Fram Then party. for students each drank 1.5 quarts off tea Rand 16 students each drank 2 quarts off tea. How may gallons off tea where nat Then beginnings off Then party? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",12.0,14.25,[],[],[],[],[],14.25,14.25,11.75,12.375,14.25,2225,16737
"Can you solve the following math problem? Dale as selling butterscotch candies lo raise money por hip Clube nat school. be doesn't have Then candies yet Rand as instead just taking orders. be started offs Width 100 total what The ordered Rand wanted lo sell, out The ended mp selling 150 butterscotch candies. the The ordered 100 more. How may does Dale still need lo sell lo sell alle off hip candy? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",50.0,50.0,[],[],[],[],[],50,50,50,50,50,3075,5339
