state,ground_truth,final_answer,completions_0,completions_1,completions_2,completions_3,completions_4,completions_5,completions_6,completions_7,completions_8,completions_9,completions_10,completions_11,completions_12,completions_13,completions_14,completions_15,completions_16,completions_17,completions_18,completions_19,completions_20,completions_21,completions_22,completions_23,completions_24,answers_0,answers_1,answers_2,answers_3,answers_4,answers_5,answers_6,answers_7,answers_8,answers_9,answers_10,answers_11,answers_12,answers_13,answers_14,answers_15,answers_16,answers_17,answers_18,answers_19,answers_20,answers_21,answers_22,answers_23,answers_24,total_prompt_tokens,total_completion_tokens
"Can you solve the following math problem? Pierson score 278 points im ones games off bowling. Nikita score 11 more then half las may las Pierson. How may points oid Pierson Rand Nikita have im total? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",428.0,428.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],4,778,428,428,1506,428,289,062,428,428,428,428,428,4181,4,420,428,428,428,428,428,556,11,428,428,1950,40949
"Can you solve the following math problem? As Ashley's school, The start a reforestation campaign were each child plant a tree Rand each teacher plant 2 trees. Then schools ha 40 classes Width can average off 25 students Rand 3 teachers por class. How may tree wild The have planted nat Then En off Then campaign? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",1240.0,1240.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],1240,1240,1200,1240,1240,1240,1760,1240,1240,700,1240,3360,95974,1240,1240,1240,1240,1240,1240,22,1240,1240,6240,1240,1240,2475,45654
"Can you solve the following math problem? Bubbles collects stuffed animals. The ha three stuffed puppies, five stuffed koalas, to stuffed zebras Rand fours stuffed frogs. in The wants lo buy enough stuffed goats, such what Then percentage off stuffed goats as 30% off alle off heir stuffed animals, how may stuffed goats should The buy? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",6.0,4.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],4,10,6,4,270,22,32,48,15,233,99,140,12,100,1,,140,6,7,3,3,6,100,5,0,2525,49890
"Can you solve the following math problem? Kris as trying lo earn a vídeo games achievement por playing a total off 30 hours. in Kris plays por half can hours every days por 2 weeks than plays por 2 hours every days por a week, how may hours does The still need lo plays lo earn Then achievement? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",9.0,19.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,19,53,6,9,30,98,19,9,8,15,0.4,2.21,14,19,47,0,0,3,18,0,9,5,25,0,2400,48335
"Can you solve the following math problem? To cars area driving son a highway. Then first cars as travelling nat can average speed off 60 mile por hours then Then second cars passes in nat can average speed off 70 mile por hour. in both cars continued son Then highway nat Then some speed, how may mile wild separate the after 2 hours? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",20.0,20.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],20,20,12.2333,20,20,20,20,40,20,20,120,20,4.18879,20,20,20,20,20,20,20,20,20,20,20,20,2550,42417
"Can you solve the following math problem? James buys a rings por hip bride-to-be. Then diamond costs $600 Rand Then gold costs $300. be pays a 30% prémium por in lo by made. How much oid The pay? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",1170.0,1170.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,1170,600,1080,1170,1170,1080,990,1170,1170,1170,1170,1170,1170,1170,27600,1170,1170,1170,54,1170,1170,1170,1170,1170,2050,36936
"Can you solve the following math problem? Janet as collecting Then result off Herbert Hoover Elementary School's annual standardized test. 340 but off 500 third-graders passed, along Width 40 but off 100 fourth graders. Then 400 fifth graders has a pass rated what las twice Then fourth grades' pass rate. whats as Then school's overall pass rate? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",70.0,70.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],59,475,56.72,22,70,0.7,73,106,54,70,58.3.,68,70,.54,0.63,,0.7,70,70,77.78,0.52,0.7,250,78,70,2650,44221
"Can you solve the following math problem? Milo as making a mosaic Width chips off glass. Its takes twelve glass chips lo made every square inch off Then mosaic. A bag off glass chips holds 72 chips. Milo wants hip mosaic lo by three inches tall. in The ha to bags off glass chips, how may inches lang An The made hip mosaic? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",4.0,12.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],010,12,2,24,3,2,9,12,12,4,...,1,7,4,9,25,4.8,6.1,9,4,17,18,3,3,3,2550,47813
"Can you solve the following math problem? where area 10 quarts off tea left Fram Then party. for students each drank 1.5 quarts off tea Rand 16 students each drank 2 quarts off tea. How may gallons off tea where nat Then beginnings off Then party? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",12.0,25.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],25,16.5,0,1,4,16.5,100,291,25,22,20,14,236.5,16,96,14,8.25,14.25,,14,13.5,26,3.5,16,4,2250,44359
"Can you solve the following math problem? Dale as selling butterscotch candies lo raise money por hip Clube nat school. be doesn't have Then candies yet Rand as instead just taking orders. be started offs Width 100 total what The ordered Rand wanted lo sell, out The ended mp selling 150 butterscotch candies. the The ordered 100 more. How may does Dale still need lo sell lo sell alle off hip candy? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",50.0,100.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],200,100,150,100,50,100,15,100,50,150,860,50,0,200,0,100,100,100,100,50,250,150,200,150,50,3025,48633
